Id,Stations,LAT,LON
339,Jalamb Jn,20.816667,76.583333
340,Jalandhar City,31.326015,75.576183
341,Jalna,19.829689,75.88003
342,Jamalpur Jn,24.924979,89.946341
343,Jammu Tawi,32.706548,74.880683
344,Jamnagar,22.470702,70.05773
345,JAMNER,20.809571,75.778736
346,Jangaon,17.72,79.18
347,Jangipur Road,24.452328,88.038063
348,Jasidih Jn,24.52,86.65
349,Jaunpur Jn,25.749003,82.6987
350,Jawlmukhi Road,31.977161,76.238583
351,Jaynagar,26.5925,86.137222
352,Jetalsar Jn,21.708431,70.578551
353,Jhajha,24.767,86.376
354,JHALAWAR CITY,24.6,76.15
355,Jhanjharpur,26.267401,86.296942
356,Jhansi Jn,25.448426,78.568459
357,Jhargram,22.45,86.983333
358,Jharsuguda Jn,21.85,84.03
359,Jind Jn,29.316667,76.316667
360,Jiribam,24.786435,93.15389
361,Jodhpur Jn,26.238947,73.024309
362,JOGBANI,26.39912,87.256858
363,Joginder Nagar,31.988723,76.79155
364,Jolarpettai,12.559229,78.576731
365,Jorhat,26.75,94.22
366,Junagadh Jn,21.522184,70.457877
367,KABAKA PUTTUR,12.786089,75.156727
368,Kacheguda,17.389673,78.496014
369,Kakinada Port,16.945612,82.261046
370,Kakinada Town,16.951111,82.252778
371,Kalka,30.83,76.93
372,Kalyan Jn,19.240331,73.130539
373,Kamakhya,26.166667,91.7
374,Kanalas Jn,22.320012,69.896501
375,Kannur,11.874478,75.370366
376,Kanpur Anwrganj,26.457218,80.32897
377,Kanpur Central,26.454349,80.351248
378,Kanyakumari,8.088306,77.538451
379,Kaptanganj Jn,26.928605,83.707105
380,KARAIKAL,10.92544,79.838006
381,KARAIKKUDI JN,10.073132,78.780154
382,KARIMGANJ JN,24.87,92.35
383,KARIMNAGAROA,18.438555,79.128841
384,Karjat,18.919225,73.327722
385,Karmali,15.496212,73.94186
386,Karur,10.95,78.08
387,Karwar,14.8,74.13
388,Kasara,19.643785,73.472527
389,Kasganj,27.80472,78.643681
390,Kashipur,29.210423,78.961885
391,KATANGI,21.770464,79.804459
392,KATHANA,29.554027,76.383986
393,Kathgodam,29.269326,79.54412
394,Katihar Jn,25.533508,87.583748
395,Katni,23.828381,80.418531
396,Katpadi Jn,12.972563,79.138199
397,Katwa,23.65,88.13
398,Kayankulam Jn,9.213571,76.527615
399,Kazipet Jn,17.972366,79.50345
400,Kcg Falaknuma,17.327352,78.47008
401,KENDUJHARGARH,21.51512,85.684578
402,Khairthal,27.801164,76.644159
403,KHAJURAHO,24.831845,79.919855
404,KHAMBHAT,22.322888,72.6299
405,Khamgaon,20.711622,76.566128
406,Khandwa,21.825733,76.352571
407,KHANUDIH,23.796462,86.177719
408,Kharagpur Jn,22.330239,87.323653
409,KHEDBRAHMA,24.028333,73.041389
410,KHEMKARAN,31.126115,74.486195
411,KHIJADIYAJN,21.623698,71.709975
412,KHOPOLI,18.79143,73.344183
413,Khurda Road JN,20.168645,85.257488
414,Khurja Jn,28.252222,77.851781
415,Kirandul,18.633644,81.25739
416,Kishanganj,26.307792,87.776333
417,Kiul Jn,25.146577,86.096278
418,Kochuveli,8.509819,76.897136
419,Koderma,24.47,85.6
420,Kodinar,20.800925,70.696031
421,Kolar,13.135745,78.132561
422,KOLKATA,22.572646,88.363895
423,Kollam Jn,8.893212,76.61414
424,KONCH,25.98,79.15
425,Koraput,18.813487,82.712333
426,Korba,22.35,82.68
427,Kosamba Jn,21.48,72.95
428,Kosi Kalan,27.787302,77.437118
429,Kot Kapura,30.591308,74.811534
430,Kota Jn,25.213816,75.864753
431,Kotdwara,29.752401,78.526903
432,Kottayam,9.591567,76.522153
433,Kozhikode,11.258753,75.78041
434,Krishnarajapurm,13.00062,77.67464
435,Kulem,15.331844,74.239942
436,Kumbakonam,10.961695,79.388113
437,Kuppam,12.747031,78.333016
438,Kurduvadi,18.096348,75.422101
439,Kurnool Town,15.828126,78.037279
440,Kurseong,26.882138,88.278851
441,Kurukshetra Jn,29.969512,76.878282
442,Lakhimpur,27.95,80.77
443,Lal Kuan,28.633168,77.473065
444,Lalgarh Jn,27.519994,73.910179
445,Lalgola,24.416667,88.25
446,Lalgudi,10.87,78.83
447,Latur,18.4,76.56
448,Laukaha Bazar,26.542994,86.46281
449,Ledo,27.294139,95.737881
450,Lingampally,17.479465,78.319902
451,LOHARDAGA,23.43,84.68
452,Lohian Khas Jn,31.16132,75.211099
453,Lokmanyatilak T,19.230391,72.839447
454,Lonavala,18.74806,73.40722
455,Londa Jn,15.456677,74.493591
456,Lower Haflong,25.189331,93.021324
457,Lucknow Ne,26.846511,80.946683
458,Lucknow Nr,26.846511,80.946683
459,Ludhiana Jn,30.900965,75.857276
460,Lumding Jn,25.751627,93.172876
461,Macherla,16.48,79.43
462,Machilipatnam,16.17,81.13
463,Madgaon,15.273611,73.958056
464,Madhupur Jn,24.26538,86.648017
465,Madurai Jn,9.925201,78.119775
466,MAHARAJGANJ,27.144604,83.562174
467,Mahbubabad,17.597528,80.001531
468,Mahbubnagar,16.741699,77.985901
469,Mahesana Jn,23.587961,72.369325
470,Mahoba,25.292096,79.872417
471,MAHUVA JN,21.090219,71.756317
472,Mailani,28.28,80.35
473,Mairabari,26.453501,92.424577
474,MAISHASHAN,24.823451,92.289233
475,Maksi,23.27,76.15
476,Malda Town,25.010841,88.141097
477,MALSAR,21.888791,73.314127
478,Manamadurai Jn,9.688998,78.458143
479,Mandar Hill,24.805888,87.026246
480,Mandasor,24.076836,75.069295
481,Mandla Fort,22.588322,80.369867
482,Manduadih,25.298138,82.962254
483,Manendragarh,23.215923,82.206706
484,Mangalore Cntl,12.914142,74.855957
485,MANGALORE JN,12.914142,74.855957
486,Manikpur Jn,25.069873,81.103057
487,Mankapur Jn,27.043215,82.212142
488,Manmad Jn,20.251179,74.436602
489,MANNARGUDI,10.664869,79.450715
490,MANOHARABAD,17.755421,78.454082
491,Manuguru,17.931207,80.82662
492,Mariani Jn,26.651571,94.32826
493,Marikuppam,12.92374,78.268971
494,Markapur Road,15.738957,79.264367
495,Marwar Jn,25.806656,73.331043
496,MASAGRAM,23.122912,88.02408
497,MATHERAN,18.988659,73.271179
498,Mathura Jn,27.492413,77.673673
499,Mau Jn,25.949638,83.558645
500,Mavli Jn,24.783333,73.983333
501,Mayiladuthurai,11.10184,79.652222
502,Mecheda,22.419599,87.866023
503,Medchal,17.630222,78.484213
504,Meerut Cant,28.993758,77.682244
505,Meerut City,28.984462,77.706414
506,Melmaruvattur,12.435878,79.833828
507,Merta City,26.644952,74.030942
508,MERTA ROAD JN,26.722474,73.915407
509,Mettupalaiyam,11.289087,76.940969
510,METUR DAM,11.8,77.8
511,Mhow,22.552437,75.756527
512,Midnapore,22.424,87.319
513,Miraj Jn,16.816502,74.642473
514,Miryalaguda,16.875311,79.565963
515,Mirzapali,18.017735,78.414792
516,MIYAGAMKJNNG,22.026425,73.0907
517,Modelgram,30.895374,75.836851
518,Moga,30.81646,75.171709
519,Mokameh Jn,25.3898,85.919097
520,MONU,28.065587,76.142689
521,Moradabad,28.831593,78.778276
522,MORBI,22.82,70.83
523,MOTIKORAL,21.836667,73.208709
524,Mughal Sarai Jn,25.281495,83.11982
525,Mumbai Central,18.969025,72.820529
526,Mumbai Cst,18.940971,72.834654
527,Munabao,25.744628,70.278036
528,Muri,23.378424,85.861418
529,Murkongselek,27.82919,95.219386
530,Murliganj,25.901024,86.994937
531,Murtajapur,20.729641,77.367893
532,Muzaffarpur Jn,26.120888,85.36472
533,Mysore Jn,12.29581,76.639381
534,Nabadwip Dham,23.397985,88.356851
535,Nadiad Jn,22.7,72.87
536,Nadikode,17.595012,81.063046
537,NAGAPPATTINAM,10.768802,79.839427
